Ingredients,Potential Allergies,Potential Diseases,Halal/Haram
Custard,Milk Allergy and Lactose Intolerance,No,Halal
Pumpkin Pie,Gluten Allergy,No,Halal
Puddings Sugar,No,Diabetes,Halal
Brown Sugar,No,Diabetes,Halal
Syrup,No,Diabetes,Halal
Tapioca Cream Pudding,No,No,Halal
Almonds,No,No,Halal
Brazil Nuts,No,No,Halal
Coconut Sweetened,No,Diabetes,Halal
Peanut Butter,No,Gout,Halal
Peanuts,No,Gout,Halal
Pecans,No,No,Halal
Sesame Seeds,No,No,Halal
Beer,No,Diabetes,Haram
Wines,No,Diabetes,Haram
Carbonated Drinks Artificially Sweetened,No,Diabetes,Halal
Club Soda,No,Diabetes,Halal
Cola Drinks,No,Diabetes,Halal
Fruit-Flavored Soda,No,Diabetes,Halal
Ginger Ale,No,No,Halal
Root Beer,No,Diabetes,Halal
Coffee,No,Hypertension,Halal
Tea,No,Hypertension,Halal
Sweet Popcorn,No,Diabetes,Halal
Pork Frankfurter Hot Dog,Gluten Allergy,Hypertension,Haram
Bread Roll Hot Dog,Gluten Allergy,No,Halal
Hombre Salsa,No,No,Halal
Cheese Sauce,Milk Allergy and Lactose Intolerance,Hypertension,Halal
Jalapeno Peppers,No,No,Halal
Vegetable Oil,No,No,Halal
Cocoa Powder,No,No,Halal
Full Cream Milk,Milk Allergy and Lactose Intolerance,No,Halal
Banana Powder,No,No,Halal
Emulsifier,No,No,Halal
Banana Flavor,No,No,Halal
Sucrose,No,Diabetes,Halal
Natural Flavor,No,No,Halal
Aspartame,No,No,Halal
Tartrazine,No,No,Halal
Milk Proteins,Milk Allergy and Lactose Intolerance,No,Halal
Flavor,No,No,Halal
Flavor Enhancer,No,No,Halal
MoNoodium,No,No,Halal
Glutamate,No,No,Halal
Sodium Polyphosphate,No,No,Halal
Citric,No,No,Halal
Disphosphate,No,No,Halal
Phosphate,No,No,Halal
Cheese Powder,Milk Allergy and Lactose Intolerance,Cholesterol,Halal
Mineral,No,No,Halal
"MoNoodium Glutamate, Msg",No,Hypertension,Halal
Antioxidants,No,No,Halal
Chicken Flavor,Poultry Allergy,No,Halal
Onion Powder,No,No,Halal
Pepper Powder,No,No,Halal
Garlic Powder,No,No,Halal
Folic Acid,No,No,Halal
Chili Powder,No,No,Halal
Vegetable Oil,No,No,Halal
Sodium Benzoate,No,No,Halal
Food Coloring,No,No,Halal
Tea Leaves,No,No,Halal
Potassium Sorbate,No,No,Halal
Palm Sugar,No,No,Halal
Ginger,No,No,Halal
Pandan Leaves,No,No,Halal
Natural Colorant Caramel,No,Diabetes,Halal
Tapioca Starch,No,No,Halal
Palm Oil,No,Cholesterol,Halal
Caramel,No,Diabetes,Halal
Oil,No,Cholesterol,Halal
Raising agent,No,No,Halal
Synthetic Flavour,No,No,Halal
Soy,No,Gout,Halal
Wheat,Gluten Allergy,No,Halal
Maltodextrin,No,No,Halal
Shortening,No,No,Halal
Whey Powder,Milk Allergy and Lactose Intolerance,No,Halal
Nata de coco,No,No,Halal
Fructose,No,Diabetes,Halal
